INPUT:id	INPUT:text	OUTPUT:id	OUTPUT:plot	OUTPUT:image	OUTPUT:music	OUTPUT:actors	OUTPUT:plot_score	OUTPUT:image_score	OUTPUT:music_score	OUTPUT:actors_score	HINT:text
71646_1	eol странный мир искаженный фантазия уводить простой клерк радостный нега действие пожить взять чужой деньги пожить рассвет полночь далеко действительность настоящий фильм ужас немецкий менталитет eol садуль писать фильм восторженный отзыв современник считать удачный отражение стилистика изысканно находить вино картина доктор калигарь садуль приводить критический рецензия 1966 год это единственный экспрессионистский картина тема который никак привязывать иррациональный малопонятный словесный шлак видеть социальный цель фильм киношный элита превозносить лента eol просматривать оба фильм сформировывать собственный мнение фильм вино прогрессивный веха отношение это настоящий прорыв любой новация фильм слишком непонятный современник рассвет полночь простой понятный форма соблюдать весь модный тенденция калигаризм суть это обычный театральный постановка присущий работа вино внутренний накал мистический напряжение непонятный рациональность фон кривой авангардный декорация развертываться вполне обычный история отправлять тема социопатия волна бедность eol видеть лента преимущество который привносить вино однако убежденный свой современник работа карла хайнц мартина близкий сила свой простота незатейливость eol ничто интересный увидеть лента неловкий попытка ухватываться принадлежность тренд калигаризм отсюда оценка eol 2 10		yes	no	no	no	neg				
71831_1	eol фильм отличать мастерский монтаж зритель разворачиваться широкий импрессионистический полотно жизнь большой город каждый кадр фрагмент находиться диалог соседний это создавать разнообразный музыкальный тканьер стремиться драматический динамика фильм разделять акт иметь ощутимый ритмика подчеркивать налагать музыка конец каждый часть идти заметный усиление темп образно это выражаться мощный жизнь механизм завод поезд это индустриальный ритм который авангард воспринимать новый поэзия трубный выдох завод ходить часть механизм конвейер капелька пот катиться паровоз волевой линия рельс новый прекрасный яростный мир усталость бессмысленность повторение звучание сверхмощный сердце заразительный устремленность eol вальтер уттманн яркий документалист относиться немецкий киноавангард тяга изобретательство смелый эксперимент отличать многий работа период фильм архаичность который пора чувствоваться старый кино увлекательный современный eol симфония большой город практически лишенный политический окраска хотя смотреть кино замечать мелькнуть образ брехтовский иоанн скотобойня отличие фриц ланга вильгельм мурнау эрнст любич уттманн покидать германия установление 3 рейх берлин 1927 год неминуемый предчувствие наползать тень оставаться будущий триумф власть уттманн сценарист       ),        немецкий танк наш сознание короче вспыхивать тревожность выкрик газетчик надвигаться заголовок eol 9 10				yes	no		pos	pos		
79667_4	eol перекрывать просто весь хороший впечатление первый часть останавливаться eol девушка узнавать гибель свой возлюбленный начало мультфильм мочь это смиряться середина появляться молодой человек который кстати звать джон       , (       это ирония ?!       ),        забывать свой гора начинать развиваться отношение главный злодей говорить джон смит умирать приходиться смотреть променивать eol конец фильм узнавать джон смит живой делать живой сказать eol умирать никакой любовь становиться обуза поскольку новый джон новый отношение конец собираться плыть домой смит предлагать путешествовать вместе хотеть первый часть героиня любить говорить разный путь смит говорить надеяться находить свой счастие по-моему это сцена просто абсурдный ладно покахонтас который находить замена джон который сказать встреча каждый день думать просто отпускать что-то вериться eol это расставаться главный героиня уплывать домой новый джон который ради отказываться титул советник королевский суд должный научать треугольник знать конец таки удачный eol 3 10 eol из-за красотка покахонтас		yes	no	no	no	neg				
86333_0	однажды семья тема разговор касаться великий советский исполнитель песня владимир семенович высоцкий мама спрашивать бабушка мол помнить противовес чувство гордость музыкант последовать первый реакция бабушка это который наркоман ужасный реакция eol протяжение весь фильм надеваться увидеть услышать играть оллинг однако глубоко обломаться ладно пусть фильм конкретно брайан джонс группа целое хотя зритель пытаться познакомить участник группа знать       ),        равный возникать вопрос музыка прочее брайан джонс великий гитарист воистину духовный человек способный глубоко чувствовать свой музыкальный инструмент охото увидеть именно неотъемлемый часть фильм брайан джонс пристрастие наркотик кстати надеяться поклонник рок-н-ролл 60 х помнить наркотик иметь главенствовать функция обострение внимание уход случай получаться фильм конкретно вредный привычка брайан весь полтора час полностью посвящать узкий проблема азва это убого фильм неуважение память великий музыкант eol подчеркивать интересный момент благодаря анита уолина который заглядывать внутренний мир брайнать показываться любовь который открываться совершенно иной полный сюрреализм мир       ),        также благодаря попытка раскрывать верный версия гибель eol фильм смотреть сильно снижать зловещий выдумка eol оценка eol 4 10 eol p s кинопоиск рекомендовать посмотреть приравивать фильм фильм the doors взгляд это большой ошибка фильм действительно музыкант коллектив		yes	no	no						
86333_5	eol талантливый человек уходить очень рано это известный факт наверное предчувствовать свой смерть стараться жить полный брать весь eol совершенно новый интересный видение жизнь творчество культовый г упп т е становление eol любовь секс секс наркотик очень наркотик красивый девушка самый красивый девушка неотъемлемый атрибут звездный жизнь eol просто полный восторг играть самый любимый актер лео грегори каждый роль отдельный жизнь который готовиться вживаться настолько слово очень любить фильм снимать документальный стиль именно камера камера охарактеризовать eol вроде документальный кино время очень художественный eol тува просто открытие безумно красивый актриса сыграть боевой подруга очень кстати говорить поверять eol the stoned это история который должный знать нравиться брайан джонс стоять исток великий человек который хотеть жить весь eol 10 10		no		no	yes				pos	
86333_8	eol снимать фильм знаменитый человек фантастически смелый признание зритель количество награда следовать критика сторона помнить знать это человек стефен вуля решать по-видимому выступать камикадзе взять весь ответственность образ легендарный группа eol фильм действительно становиться легендарный нести память брайан джонс вещь создавать показывать весь мир являться поклонница rolling stones несомненно мочь уважать работа популярность который получать право именно следить творчество группа уводить путь скептицизм судить фильм самостоятельный творение экранизация жизнь творчество джонс eol честно признаваться дурман решать посмотреть из-за играть бен уишоу роль маленький играть кит ичардс значит стоить ценить взять поистине достойный роль тува новотный милый симпатичный девушка замечательно смотреться экран взгляд хватать симпатия уважение свой персонаж актер именно поэтому образ подружка самый джонс получаться полусухой eol поражать лео грегори жаль широко известный оссия актер западать душа улыбка завораживать актерский самоотдача поражать невероятно понимать хотеть посмотреть фильм eol хотеться сказать спасибо оператор очень понравиться снимать фильм качественно интересный сценарист большой молодец диалог смысл слово пошлость хотя жизнь джонс буквально заполнять разврат eol общий фильм понравиться хотя оскар тянуть золотой глобус давать		yes		no	yes	pos		neut	pos	
97639_2	eol сила мужество вера качество который должный воспитывать каждый человек следуемый это правило пора просто жить житься плыть течение делать молодой девушка который душа чаять танец карьера весь радость жизнь указываться угроза eol mayuri это пример весь потерять вера фильм вставать уверенность мочь перевертывать весь свет eol говорить история отдельно хотеться отмечать дебют судх актриса хотеть обсуждать человек казаться написать человек восхищаться очень поражать девушка актриса честно пора актриса огромный стаж верить девочка удаваться вспомнить весь переживать страдание передавать возможный это заслуга именно танцевальный талант знать индийский танец задействовать оказываться нога тело рука голова главное глаз который должный рассказывать девушка танцевать судх просто апплодировать стоять eol также отмечать игра нарьяна п л играть папа маюри телугу версия последний сцена переосмысливать весь свой жизнь плакать уходить сквозь слеза это просто потрясать милый смелый мечта вставка посреди фильм заставлять расслабляться смеяться забывать самый дело тяжелый тема подымать фильм отличие black guzaarish санджай лить бхансаль eol вобщий фильм оочень достойный потрясать постановка операторский работа фильм яркий красочный танец актерский игра высота eol некоторый недостаток сценарий жизнь судх фильм сильно драматизировать дело несколько иначе мочь испортить высокий мнение фильм		yes	yes	no	yes	neut	pos		pos	
65636_1	eol чудесный фильм немецкий дедушка шульц герой отрабатывать n ое количество год шахта выходить долгожданный пенсия заполучать свобода герой понятие иметь распоряжаться оставаться цель идея прежний жизнь идти работа время скучать самостоятельно приходиться что-то занимать придумывать цель сожаление это очень получаться смахивать маленький ребенок который переставать заботиться родитель приходиться делать это безысходный вести мир вокруг переставать крутиться шульц попадать куча приятный очень ситуация eol фильм довольно монотонный серый скучноватый обычный день немецкий провинциальный гордке время присутствовать тонкий ирония юмор раскрывать тема одиночество находить общий фильм шмидтеую посмотреть человек старший поколение тема близкий хотя молодой получать огромный удовольствие просмотр eol 7 10		yes	no	no	no	pos				
65636_0	восхитительный трогательный очень стильный фильм взаимодействие культура полька германский пивной сливаться воедино музыка брасс зайдеко болотный луизиана eol баварский шахтер шульц выходить пенсия вместе свой приятель манфред юрген троица либо удить рыба мост либо провожать время нескончаемый бутылка пиво вести мерный беседа отличие друг толстяк шульц третий увлечение играть полька аккордеон причем продолжать отцовский традиция однажды случайно включать радио шульц слышать иной аккордеонный музыка луизианский блюз zydeco проникаться готовый изменять традиционный полька приходить приглашение музыкальный фестиваль американский город побратим техас общий судьба давать шанс непонятый родной пивной шульц встречаться блюз колыбель eol убедительный исполнитель главный роль хорст крауза лишний движение жест гримасыер майкл шорра работать очень лаконично основной крупный план фильм воздух очень символичный история шахтер тонкий юмор диалог простой человеческий отношение принципиальный неспешность повествование создавать домашний атмосфера казаться персонаж история который вместе остальной молча наблюдать происходить eol жаль schultze gets the blues оставаться единственный фильм карьера режиссер майкл шорра интересно посмотреть работа eol 8 10			no	no	yes					
79667_2	eol продолжение история покахонтас целое понравиться график менее качественный музыка менее приятный слух что-то равный давать покой мочь точно сказать понравиться мультик eol первый часть принцесса показывать хороший сторона второй несколько изменять характер девушка все-таки обидно резко несправедливый отношение зритель изменяться сюжет данный мультипликационный фильм очень обидно видеть покахонтас противоречить свой моральный ценность понятие все-таки по-прежнему слушать сердце самый непонятный это покахонтас 2 отличаться сиквел дисней казаться логичный хэппи энд видимый первый часть зато событие развиваться совершенно иной направление eol плюс мультик озвучка герой оставаться неизменный очень приятно слышать eol 7 10		yes	yes	yes		neg				
